S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
27,CCBD88,-,"1,121.40","1,121.40","1,121.40","1,120.00","1,120.00",2.00,"1,121.40","1,121.40","2,240.00",1,-1.40,0.00,-0.12,0.00,0.00,"1,124.65","1,092.59","1,250.00","1,000.00"
28,CFCL,-,562.00,562.00,535.40,538.08,542.25,"26,831.00",560.66,536.20,"14,549,165.00",221,-22.58,26.60,-4.03,4.97,-0.78,615.72,607.21,820.00,338.00
29,CGH,-,877.00,877.00,855.10,858.93,861.54,"18,716.00",877.42,858.00,"16,124,511.20",254,-18.49,21.90,-2.11,2.56,-0.30,915.35,951.37,"1,360.00",760.00
30,CHCL,-,485.00,485.00,476.00,476.91,479.83,"53,572.00",489.75,477.00,"25,705,588.10",301,-12.84,9.00,-2.62,1.89,-0.61,546.13,543.32,697.00,426.30
31,CHDC,-,"2,195.00","2,195.00","2,118.00","2,122.97","2,145.31","64,386.00","2,199.43","2,121.10","138,127,814.70",666,-76.46,77.00,-3.48,3.64,-1.05,"1,856.02","1,724.24","2,477.40",627.00
32,CHL,-,517.00,529.50,505.00,510.74,515.01,"42,144.00",523.08,511.00,"21,704,763.00",171,-12.34,24.50,-2.36,4.85,-0.84,426.68,403.25,599.70,283.20
33,CIT,-,"1,969.00","1,969.00","1,940.00","1,946.43","1,946.47","18,731.00","1,960.54","1,947.00","36,459,288.90",304,-14.11,29.00,-0.72,1.49,0.00,"2,099.40","2,138.53","2,700.00","1,887.00"
34,CITY,-,842.10,850.00,816.10,821.63,830.87,"9,341.00",856.90,820.00,"7,761,174.80",144,-35.27,33.90,-4.12,4.15,-1.12,884.22,869.09,"1,168.50",562.00
35,CIZBD86,-,"1,101.40","1,101.40","1,101.40","1,104.20","1,104.20",2.00,"1,101.40","1,101.40","2,208.40",1,2.80,0.00,0.25,0.00,0.00,0.00,0.00,"1,147.20","1,000.30"
36,CIZBD90,-,"1,115.10","1,115.10","1,115.10","1,120.00","1,120.00",2.00,"1,115.10","1,115.10","2,240.00",1,4.90,0.00,0.44,0.00,0.00,0.00,0.00,"1,205.00","1,000.00"
37,CKHL,-,714.10,714.10,681.30,685.03,694.65,"7,774.00",719.02,685.00,"5,400,199.20",127,-33.99,32.80,-4.73,4.81,-1.40,732.56,704.45,910.00,480.50
38,CLI,-,505.00,505.00,492.00,494.69,497.29,"33,405.00",505.73,492.00,"16,611,854.00",439,-11.04,13.00,-2.18,2.64,-0.52,673.57,644.69,774.90,430.00
39,CMF2,-,9.30,9.30,9.16,9.16,9.22,"1,200.00",9.30,9.16,"11,062.00",5,-0.14,0.14,-1.51,1.53,-0.64,9.51,9.42,10.68,7.65
40,CORBL,-,"1,826.00","1,827.20","1,746.00","1,801.58","1,793.66","23,211.00","1,845.21","1,790.00","41,632,696.90",181,-43.63,81.20,-2.36,4.65,0.44,"1,526.02","1,240.80","2,842.30",405.00
41,CYCL,-,"1,600.00","1,600.00","1,545.00","1,548.16","1,560.40","3,198.00","1,599.79","1,545.00","4,990,157.20",107,-51.63,55.00,-3.23,3.56,-0.79,"1,641.00","1,608.71","1,958.00","1,282.20"
42,CZBIL,-,209.10,209.10,205.10,207.15,207.29,"46,475.00",209.12,207.20,"9,633,789.40",127,-1.97,4.00,-0.94,1.95,-0.07,223.52,221.26,296.00,152.50
43,DDBL,-,770.00,771.00,759.00,760.61,763.19,"11,243.00",776.53,763.00,"8,580,490.10",151,-15.92,12.00,-2.05,1.58,-0.34,858.30,881.29,"1,099.00",670.00
44,DHPL,-,403.00,408.00,380.00,382.75,387.02,"107,532.00",407.41,383.00,"41,616,642.30",424,-24.66,28.00,-6.05,7.37,-1.11,303.67,280.99,427.20,185.30
45,DLBS,-,"1,560.00","1,560.00","1,503.00","1,512.49","1,522.96","2,263.00","1,553.33","1,503.00","3,446,459.00",57,-40.84,57.00,-2.63,3.79,-0.69,"1,613.15","1,516.66","2,250.00","1,091.00"
46,DOLTI,-,687.00,698.60,673.00,674.41,677.63,"14,194.00",700.40,674.00,"9,618,242.20",124,-25.99,25.60,-3.71,3.80,-0.48,669.13,615.57,"1,017.00",366.00
47,DORDI,-,370.10,377.00,363.60,365.27,367.52,"9,414.00",377.61,370.00,"3,459,816.50",131,-12.34,13.40,-3.27,3.69,-0.62,505.66,494.07,696.00,356.40
